department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,champion_selection,session_id,program_order,age_min,age_max,trophy
Beef,Showmanship,,,s6,,,s11,Senior Division Beef Showmanship,,,beef,1,16,20,Chuck Noffke Trophy (be12c) Banner
Beef,Showmanship,,,s7,,,s11,Intermediate Division Beef Showmanship,,,beef,2,13,15,Chuck Durm Trophy (be13c) Banner
Beef,Showmanship,,,s8,,,s11,Junior Division Beef Showmanship,,,beef,3,9,12,Lester Sebasty Family Trophy (be14r) Banner
Beef,Showmanship,,,s9,,,s11,Young Junion Division Beef Showmanship,,,beef,4,6,8,Patti Cuthbert White Trophy (be15r) Banner
Beef,Showmanship,,,s10,,,s11,5-Year-Old Division Beef Showmanship,,,beef,5,5,5,TCG Cattle Company Trophy (be53r) Banner
Beef,Showmanship,,,s11,,TRUE,c157,Champion Beef Showmanshp,,,beef,6,,,"Champion: Lakeview Farms - Belt Buckle
Reserve Champion: Brunke Chiangus Farms - Belt Buckle"
Beef,Breeding,Hereford,,c92,92,,c100,Hereford Heifer Calf,,,beef,7,,,
Beef,Breeding,Hereford,,c93,93,,c100,Hereford Yearling Heifer,,,beef,8,,,
Beef,Breeding,Hereford,,c94,94,,c100,Hereford Yearling Heifer,,,beef,9,,,
Beef,Breeding,Hereford,,c95,95,,c100,Hereford Yearling Heifer,,,beef,10,,,
Beef,Breeding,Hereford,,c96,96,,c100,Hereford Yearling Heifer,,,beef,11,,,
Beef,Breeding,Hereford,,c97,97,,c100,Hereford Yearling Heifer,,,beef,12,,,
Beef,Breeding,Hereford,,c98,98,,c100,Hereford Cow,,,beef,13,,,
Beef,Breeding,Hereford,,c99,99,,c100,Hereford Cow and Calf,,,beef,14,,,
Beef,Breeding,Hereford,,c100,,TRUE,c157,Champion Hereford Female,,,beef,15,,,"Champion: Rodney Jannert Trophy (be28r)
Reserve Champion: Doug Clark Memorial Trophy (be39"
Beef,Breeding,Angus,,c103,103,,c111,Angus Heifer Calf,,,beef,16,,,
Beef,Breeding,Angus,,c104,104,,c111,Angus Yearling Heifer,,,beef,17,,,
Beef,Breeding,Angus,,c105,105,,c111,Angus Yearling Heifer,,,beef,18,,,
Beef,Breeding,Angus,,c106,106,,c111,Angus Yearling Heifer,,,beef,19,,,
Beef,Breeding,Angus,,c107,107,,c111,Angus Yearling Heifer,,,beef,20,,,
Beef,Breeding,Angus,,c108,108,,c111,Angus Yearling Heifer,,,beef,21,,,
Beef,Breeding,Angus,,c109,109,,c111,Angus Cow,,,beef,22,,,
