department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Cats,Showmanship,,,s35,,,s39,Young Junior Division Cat Showmanship,,cats,1,5,8,
Cats,Showmanship,,,s36,,,s39,Junior Division Cat Showmanship,,cats,2,9,12,
Cats,Showmanship,,,s37,,,s39,Intermediate Cat Showmanship,,cats,3,13,15,
Cats,Showmanship,,,s38,,,s39,Senior Cat Showmanship,,cats,4,16,20,
Cats,Showmanship,,,s39,,TRUE,c920,Grand Champion Cat Showmanship,,cats,5,,,
Cats,Show Cats,Long Hair,,c910,910,,c912,Long Hair Male or Long Hair Neuter Male,,cats,6,,,
Cats,Show Cats,Long Hair,,c911,911,,c912,Long Hair Female or Long Hair Spay Female,,cats,7,,,
Cats,Show Cats,Long Hair,,c912,,TRUE,c920,Champion Long Hair Cat,,cats,,,,
Cats,Show Cats,Short Hair,,c916,916,,c918,Short Hair Male or Short Hair Neuter Male,,cats,8,,,
Cats,Show Cats,Short Hair,,c917,917,,c918,Short Hair Female or Short Hair Spay Female,,cats,9,,,
Cats,Show Cats,Short Hair,,c918,,TRUE,c920,Champion Short Hair Cat,,cats,,,,
Cats,Show Cats,,,c920,,TRUE,,Grand Champion Cat,,cats,,,,
Cats,Show Cats,Kittens,,c924,924,,c925,Kittens (4 to 8 months of age),,cats,10,,,
Cats,Show Cats,Kittens,,c925,,TRUE,,Champion Kitten,,cats,,,,
Cats,Costume,,,c928,928,,c932,Young Junior Division Cat Costume,,cats,11,5,8,
Cats,Costume,,,c929,929,,c932,Junior Division Cat Costume,,cats,12,9,12,
Cats,Costume,,,c930,930,,c932,Intermediate Division Cat Costume,,cats,13,13,15,
Cats,Costume,,,c931,931,,c932,Senior Division Cat Costume,,cats,14,16,20,
Cats,Costume,,,c932,,TRUE,,Best Costume,,cats,,,,
Cats,,,,c934,934,,,Decorated Cat Cage,,cats,,,,
Cats,,,,c935,,,,Best Decorated Cat Cage,,cats,,,,
Cats,Other,,,c937,,TRUE,,Judges Award,Will be givin to the adult cat with the best personality on Show Day.,cats,,,,
