department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Dairy,Showmanship,,,s1,,,Young Junior Division Dairy Showmanship,,dairy,1,5,8,"Roberts Family Trophy (da17a) Banner "
Dairy,Showmanship,,,s2,,,Junior Division Dairy Showmanship,,dairy,2,9,12,Dale & Lena Young Trophy (da14a) Banner 
Dairy,Showmanship,,,s3,,,Intermediate Division Dairy Showmanship,,dairy,3,13,15,"Chuck & Barb Miltenberger Trophy (da16a) Banner"
Dairy,Showmanship,,,s4,,,Senior Division Dairy Showmanship,,dairy,4,16,20,Mark & Kevin Young Trophy (da15a) Banner 
Dairy,Showmanship,,,s5,,TRUE,Grand Champion Dairy Showmanship,,dairy,5,,,"Keith Brohman Memorial Trophy (da13r) "
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c20,20,,"Junior Heifer Calf, All Other Dairy Breeds",,dairy,6,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c21,21,,"Intermediate Heifer, All Other Dairy Breeds",,dairy,7,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c22,22,,"Senior Heifer Calf, All Other Dairy Breeds",,dairy,8,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c23,23,,"Summer Yearling Heifer, All Other Dairy Breeds",,dairy,9,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c24,24,,"Junior Yearling Heifer, All Other Dairy Breeds",,dairy,10,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c25,25,,"Winter Yearling Heifer, All Other Dairy Breeds",,dairy,11,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c26,26,,"Senior Yearling Heifer, All Other Dairy Breeds",,dairy,12,,,
Dairy,Breeding,All Other Dairy Breeds,Junior Heifers,c27,,TRUE,"Junior Champion Female, All Other Dairy Breeds",First and second place winners in classes 20 through 26 must compete in this class.,dairy,13,,,"Champion: Carla Willis Memorial Trophy (da10r)
Reserve Champion: Brohman Farms Trophy (da19r)"
Dairy,Breeding,All Other Dairy Breeds,Senior Heifers,c31,31,,"Two Year Old Heifer, in Milk, All Other Dairy Breeds",,dairy,14,,,
Dairy,Breeding,All Other Dairy Breeds,Senior Heifers,c33,33,,"Three Year Old Cow, In Milk, All Other Dairy Breeds",,dairy,15,,,
Dairy,Breeding,All Other Dairy Breeds,Senior Heifers,c35,35,,"Four Year Old Cow, In Milk, All Other Dairy Breeds",,dairy,16,,,
