department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy,trophy,trophy
Dogs,Rally,,,c846,846,,c849,Young Beginners Dog Rally,,dogs1,1,5,8,,,
Dogs,Rally,,,c847,847,,c849,Beginners Dog Rally,Age 9 years and up and/or first time exhibitor.,dogs1,2,,,,,
Dogs,Rally,,,c848,848,,c849,Advaned Dog Rally,,dogs1,3,,,,,
Dogs,Rally,,,c849,,TRUE,,Champion Beginner Rally,,dogs1,4,,,,,
Dogs,Rally,,,c851,851,,c860,Intermediate Dog Rally A,,dogs1,5,,,,,
Dogs,Rally,,,c852,852,,c860,Intermediate Dog Rally B,,dogs1,6,,,,,
Dogs,Rally,,,c853,853,,c860,Novice Dog Rally A,,dogs1,7,,,,,
Dogs,Rally,,,c854,854,,c860,Novice Dog Rally B,,dogs1,8,,,,,
Dogs,Rally,,,c855,855,,c860,Advanced Dog Rally A,,dogs1,9,,,,,
Dogs,Rally,,,c856,856,,c860,Advanced Dog Rally B,,dogs1,10,,,,,
Dogs,Rally,,,c857,857,,c860,Excellent Dog Rally A,,dogs1,11,,,,,
Dogs,Rally,,,c858,858,,c860,Excellent Dog Rally B,,dogs1,12,,,,,
Dogs,Rally,,,c859,859,,c860,Master Dog Rally,,dogs1,13,,,,,
Dogs,Rally,,,c860,,TRUE,,Grand Champion Rally,,dogs1,14,,,,,
Dogs,Costume,,,c842,842,,c845,Junior Dog Costume,,dogs2,1,5,9,,,
Dogs,Costume,,,c843,843,,c845,Intermediate Dog Costume,,dogs2,2,10,13,,,
Dogs,Costume,,,c844,844,,c845,Senior Dog Costume,,dogs2,3,14,20,,,
Dogs,Costume,,,c845,,TRUE,,Best Costume,,dogs2,4,,,,,
Dogs,Costume,,,c882,882,,c885,Non-Traditional Dog Costume,,dogs2,5,5,12,,,
Dogs,Costume,,,c883,883,,c885,Non-Traditional Dog Costume,,dogs2,6,13,19,,,
Dogs,Costume,,,c884,884,,c885,Non-Traditional Dog Costume,,dogs2,7,20,26,,,
