event_type,day,location,event_start,event_end,event_end_estimate,event_title,event_description
Grandstand,Friday,Grandstand,8:00 PM,,10:00 PM,Demolition Derby,
Grandstand,Monday,Grandstand,7:00 PM,,9:00 PM,NTPA Regional Truck and Tractor Pull,
Grandstand,Saturday,Grandstand,7:00 PM,,9:00 PM,Bullmania,
Grandstand,Thursday,Grandstand,7:00 PM,,9:00 PM,The Riflemen,
Grandstand,Tuesday,Grandstand,1:00 PM,,3:00 PM,Circus Contintenal,
Grandstand,Tuesday,Grandstand,4:00 PM,,5:00 PM,Circus Contintenal,
Grandstand,Tuesday,Grandstand,7:00 PM,,9:00 PM,Circus Contintenal,
Grandstand,Wednesday,Grandstand,7:00 PM,,9:00 PM,Cooper Alan,
Mall Stage Entertainment,Friday,Mall Stage,2:30 PM,,4:30 PM,Back Pocket,
Mall Stage Entertainment,Friday,Mall Stage,5:00 PM,,7:00 PM,Yesterday's Children,
Mall Stage Entertainment,Friday,Mall Stage,8:00 PM,,10:00 PM,Van Dyke Revue,
Mall Stage Entertainment,Saturday,Mall Stage,11:00 AM,,12:00 PM,Citadel Center for Dance,
Mall Stage Entertainment,Saturday,Mall Stage,12:00 PM,,2:00 PM,Elvis,
Mall Stage Entertainment,Saturday,Mall Stage,2:00 PM,,4:00 PM,Flash Back,
Mall Stage Entertainment,Saturday,Mall Stage,5:00 PM,,7:00 PM,Blue Shoes Jazz,
Mall Stage Entertainment,Saturday,Mall Stage,8:00 PM,,10:00 PM,Harbor Town,
Mall Stage Entertainment,Thursday,Mall Stage,1:30 PM,,2:30 PM,Dance Arts,
Mall Stage Entertainment,Thursday,Mall Stage,2:30 PM,,3:30 PM,Green Dance Academy,
Mall Stage Entertainment,Thursday,Mall Stage,3:30 PM,,5:00 PM,Sunset Coast Country Dancers,
Mall Stage Entertainment,Thursday,Mall Stage,5:00 PM,,7:00 PM,99.9 Y-Country Youth Talent Show Winners,
Mall Stage Entertainment,Thursday,Mall Stage,7:00 PM,,9:00 PM,Fresh Cut Grass,
Mall Stage Entertainment,Tuesday,Mall Stage,1:30 PM,,2:45 PM,Power in Motion,
Mall Stage Entertainment,Tuesday,Mall Stage,2:45 PM,,4:00 PM,Fusion Center for Dance,
Mall Stage Entertainment,Tuesday,Mall Stage,4:00 PM,,5:00 PM,Dance Revolution,
Mall Stage Entertainment,Tuesday,Mall Stage,5:00 PM,,7:00 PM,READY Taekwondo,
Mall Stage Entertainment,Tuesday,Mall Stage,7:00 PM,,9:00 PM,Vickie Page Band,
Mall Stage Entertainment,Wednesday,Mall Stage,5:00 PM,,7:00 PM,Joy Bringers Bell Choiir,
Mall Stage Entertainment,Wednesday,Mall Stage,7:00 PM,,9:00 PM,Larry Johnson,
Other Events,Thursday,South End of Commercial Buildings,3:00 PM,,5:00 PM,Pedal Pull Contest,
Other Events,Tuesday,Building #38,12:00 PM,4:00 PM,,Law Day,
Talks,Friday,Building #13,6:00 PM,,7:00 PM,Guest Speaker Nick Bogart,
Talks,Thursday,Building #13,6:00 PM,,7:00 PM,Guest Speaker Dr. Brian Carrol from the Israelite House of David,
Talks,Wednesday,Building #13,6:00 PM,,7:00 PM,"Guest Speaker Chuck Jager, Executive Director for Mortan House Museum",
