department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Goats,Showmanship,Dairy,,s12,,,s24,Senior Division Dairy Goat Showmanship,,goats1,1,16,20,
Goats,Showmanship,Dairy,,s13,,,s24,Young Junior Division Dairy Goat Showmanship,,goats1,2,5,8,
Goats,Showmanship,Dairy,,s14,,,s24,Junior Division Dairy Goat Showmanship,,goats1,3,9,12,
Goats,Showmanship,Dairy,,s15,,,s24,Intermediate Division Dairy Goat Showmanship,,goats1,4,13,15,
Goats,Showmanship,Pygmys,,s16,,,s24,Senior Division Pygmy Goat Showmanship,,goats1,5,16,20,
Goats,Showmanship,Pygmys,,s17,,,s24,Young Junior Division Pygmy Goat Showmanship,,goats1,6,5,8,
Goats,Showmanship,Pygmys,,s18,,,s24,Junior Division Pygmy Goat Showmanship,,goats1,7,9,12,
Goats,Showmanship,Pygmys,,s19,,,s24,Intermediate Division Pygmy Goat Showmanship,,goats1,8,13,15,
Goats,Showmanship,Boers and Other Breeds,,s20,,,s24,Senior Division Boer and Other Breeds Goat Showmanship,,goats1,9,16,20,
Goats,Showmanship,Boers and Other Breeds,,s21,,,s24,Young Junior Division Boer and Other Breeds Goat Showmanship,,goats1,10,5,8,
Goats,Showmanship,Boers and Other Breeds,,s22,,,s24,Junior Division Boer and Other Breeds Goat Showmanship,,goats1,11,9,12,
Goats,Showmanship,Boers and Other Breeds,,s23,,,s24,Intermediate Division Boer and Other Breeds Goat Showmanship,,goats1,12,13,15,
Goats,Showmanship,Boers and Other Breeds,,s24,,TRUE,,Grand Champion Goat Showmanship,,goats1,13,,,
Goats,Showmanship,Special Needs Exhibitors,,c260,260,,c280,Special Needs Exhibitors with Goats,,goats1,14,,,
Goats,Breeding,Myotonic,,c276,276,,c280,"Junior Myotonic Does, under 6 months",,goats1,15,,,
Goats,Breeding,Myotonic,,c277,277,,c280,"Junior Myotonic Does, 6 under 9 months",,goats1,15,,,
Goats,Breeding,Myotonic,,c278,278,,c280,"Junior Myotonic Does, 9 under 12 months",,goats1,15,,,
Goats,Breeding,Myotonic,,c279,279,,c280,"Junior Myotonic Does, 12 under 24 months",,goats1,15,,,
Goats,Breeding,Myotonic,,c280,,TRUE,c286,Junior Champion Myotonic,,goats1,15,,,
Goats,Breeding,Myotonic,,c282,282,,c284,"Senior Myotonic Does, 24 under 36 months",,goats1,16,,,
Goats,Breeding,Myotonic,,c283,283,,c284,"Senior Myotonic Does, 36 months and over",,goats1,17,,,
Goats,Breeding,Myotonic,,c284,,TRUE,c286,Senior Champion Myotonic,,goats1,18,,,
Goats,Breeding,Myotonic,,c286,,TRUE,,Grand Champion Myotonic Goat,,goats1,19,,,
Goats,Breeding,Myotonic,,c288,288,,,"Dam and Daughter, Myotonic Goat",Both must be owned by one exhibitor or family.,goats1,20,,,
Goats,Breeding,Myotonic,,c289,289,,,"Best Herd, Myotonic Goat",Three goats owned by one exhibitor or family.,goats1,21,,,
Goats,Breeding,Boers,,c291,291,,c294,"Junior Boer Does, under 6 months",,goats1,22,,,
Goats,Breeding,Boers,,c292,292,,c294,"Junior Boer Does, 6 to under 9 months",,goats1,23,,,
Goats,Breeding,Boers,,c293,293,,c294,"Junior Boer Does, 9 to under 12 months",,goats1,24,,,
Goats,Breeding,Boers,,c294,,TRUE,c305,Junior Champion Boer Doe,,goats1,25,,,
Goats,Breeding,Boers,,c296,296,,c299,"Yearling Boer Does, 12 to under 16 months",,goats1,26,,,
Goats,Breeding,Boers,,c297,297,,c299,"Yearling Boer Does, 16 to under 20 months",,goats1,27,,,
Goats,Breeding,Boers,,c298,298,,c299,"Yearling Boer Does, 20 to under 24 months",,goats1,28,,,
Goats,Breeding,Boers,,c299,,TRUE,c305,Champion Boer Yearling,,goats1,29,,,
Goats,Breeding,Boers,,c301,301,,c303,"Senior Boer Does, 24 to under 36 months",,goats1,30,,,
Goats,Breeding,Boers,,c302,302,,c303,"Senior Boer Does, 36 months and over",,goats1,31,,,
Goats,Breeding,Boers,,c303,,TRUE,c305,Senior Champion Boer Doe,,goats1,32,,,
Goats,Breeding,Boers,,c305,,TRUE,,Grand Champion Boer Doe,,goats1,33,,,
Goats,Breeding,Boers,,c307,307,,,"Dam and Daughter, Boer Doe",,goats1,34,,,
Goats,Breeding,Boers,,c308,308,,,"Best Herd, Boer Goat",,goats1,35,,,
Goats,Market,Dairy Goats,,c310,310,,c311; c313; c315,Dairy Market Goat Class,100% Dairy,goats1,36,,,
Goats,Market,Dairy Goats,,c311,,TRUE,c317,"Champion Light Weight Dairy, 40 to 54.9 lbs",,goats1,37,,,
Goats,Market,Dairy Goats,,c313,,TRUE,c317,"Champion Medium Weigth Dairy, 55 to 69.9 lbs",,goats1,38,,,
Goats,Market,Dairy Goats,,c315,,TRUE,c317,"Champion Heavy Weight Dairy, 70+ lbs",,goats1,39,,,
Goats,Market,Dairy Goats,,c317,,TRUE,,Grand Champion Dairy Market Goat,,goats1,40,,,
Goats,Market,Boers and Kikos,,c323,323,,c324; c326; c328,Boer/Kiko Market Goat,including all Meat Breed crosses,goats1,41,,,
Goats,Market,Boers and Kikos,,c324,,TRUE,c330,"Champion Light Weight Boer/Kiko, 40 to 64.9 lbs",,goats1,42,,,
Goats,Market,Boers and Kikos,,c326,,TRUE,c330,"Champion Medium Weight Boer/Kiko, 65 to 89.9 lbs",,goats1,43,,,
Goats,Market,Boers and Kikos,,c328,,TRUE,c330,"Champion Heavy Weight Boer/Kiko, 90+ lbs",,goats1,44,,,
Goats,Market,Boers and Kikos,,c330,,TRUE,,Grand Champion Boer/Kiko Market Goat,,goats1,45,,,
Goats,Breeding,Dairy Goats,,c337,337,,c342,"Does Under 2, In Milk",,goats2,1,,,
Goats,Breeding,Dairy Goats,,c338,338,,c342,Does Two Years and Under Three Years,,goats2,2,,,
Goats,Breeding,Dairy Goats,,c339,339,,c342,Does Three Years and Under Four Years,,goats2,3,,,
Goats,Breeding,Dairy Goats,,c340,340,,c342,Does Four Years and Under Five Years,,goats2,4,,,
Goats,Breeding,Dairy Goats,,c341,341,,c342,Does Five Years and Over,,goats2,5,,,
Goats,Breeding,Dairy Goats,,c342,,TRUE,c350,Senior Champion Dairy Goat,,goats2,6,,,
Goats,Breeding,Dairy Goats,,c344,344,,c348,"Best Udder, Judged on Udder Alone",,goats2,7,,,
Goats,Breeding,Dairy Goats,,c345,345,,c348,Does Born 6/1 to 4/1,,goats2,8,,,
Goats,Breeding,Dairy Goats,,c346,346,,c348,Does Born 2/16 to 3/31,,goats2,9,,,
Goats,Breeding,Dairy Goats,,c347,347,,c348,Does Born 1/1 to 2/15,,goats2,10,,,
Goats,Breeding,Dairy Goats,,c348,,TRUE,c350,Junior Champion Dairy Goat,,goats2,11,,,
Goats,Breeding,Dairy Goats,,c350,,TRUE,,Grand Champion Dairy Goat,,goats2,12,,,
Goats,Breeding,Dairy Goats,,c353,353,,,Dam and Daughter,Both must be owned by one exhibitor or family.,goats2,13,,,
Goats,Breeding,Dairy Goats,,c354,354,,,Best Herd,Three goats owned by one exhibitor or family.,goats2,14,,,
Goats,Cart,,,c355,355,,,Beginners Cart Class,"Animals may only be shown in this class once, not eligible for any other cart class.",goats2,15,,,
Goats,Cart,,,c356,356,,,Cart Class with Groom,May have assistance with leading.,goats2,16,,,
Goats,Cart,,,c359,359,,,Cart Class without Groom,Driver only with no assistance.,goats2,17,,,
Goats,Obstacle,,,c362,362,,,"In Training, Under One Year",,goats2,18,,,
Goats,Obstacle,,,c363,363,,,Yearling,,goats2,19,,,
Goats,Obstacle,,,c364,364,,,"Mature, Two Years and Older",,goats2,20,,,
Goats,Costume,Costume,,c365,365,,c369,Young Junior Division,,goats2,21,5,8,
Goats,Costume,Costume,,c366,366,,c369,Junior Division,,goats2,22,9,12,
Goats,Costume,Costume,,c367,367,,c369,Intermediate Division,,goats2,23,13,15,
Goats,Costume,Costume,,c368,368,,c369,Senior Division,,goats2,24,16,20,
Goats,Costume,Costume,,c369,,TRUE,,Best Costume,,goats2,25,,,
Goats,Breeding,All Other Breeds,,c372,372,,c374,Does Under One Year Old,,goats3,1,,,
Goats,Breeding,All Other Breeds,,c373,373,,c374,Does One Year Old and Over,,goats3,2,,,
Goats,Breeding,All Other Breeds,,c374,,TRUE,,Grand Champion All Other Goat Breeds,,goats3,3,,,
