department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Llamas and Alpacas,Showmanship,,,c1400,1400,,c1405,Senior Division Llama and Alpaca Showmansip,,llamas_alpacas1,1,16,20,
Llamas and Alpacas,Showmanship,,,c1401,1401,,c1405,Intermediate Division Llama and Alpaca Showmansip,,llamas_alpacas1,2,13,15,
Llamas and Alpacas,Showmanship,,,c1402,1402,,c1405,Junior Division Llama and Alpaca Showmansip,,llamas_alpacas1,3,9,12,
Llamas and Alpacas,Showmanship,,,c1403,1403,,c1405,Young Junior Division Llama and Alpaca Showmansip,,llamas_alpacas1,4,6,8,
Llamas and Alpacas,Showmanship,,,c1404,1404,,c1405,5-Year-Old Division Llama and Alpaca Showmansip,,llamas_alpacas1,5,5,5,
Llamas and Alpacas,Showmanship,,,c1405,,TRUE,,Grand Champion Llama and Alpaca Showmansip,,llamas_alpacas1,6,6,20,
Llamas and Alpacas,Obstacle,Standard,,c1409,1409,,c1432,Senior Division Llama and Alpaca Obstacle,,llamas_alpacas1,7,16,20,
Llamas and Alpacas,Obstacle,Standard,,c1410,1410,,c1430,Intermediate Division Llama and Alpaca Obstacle,,llamas_alpacas1,8,13,15,
Llamas and Alpacas,Obstacle,Standard,,c1411,1411,,c1428,Junior Division Llama and Alpaca Obstacle,,llamas_alpacas1,9,9,12,
Llamas and Alpacas,Obstacle,Standard,,c1412,1412,,c1426,Young Junior Division Llama and Alpaca Obstacle,,llamas_alpacas1,10,6,8,
Llamas and Alpacas,Obstacle,Standard,,c1413,1413,,,5-Year-Old Division Llama and Alpaca Obstacle,,llamas_alpacas1,11,5,5,
Llamas and Alpacas,Packing,,,c1416,1416,,c1432,Senior Division Llama and Alpaca Packing,,llamas_alpacas1,12,16,20,
Llamas and Alpacas,Packing,,,c1417,1417,,c1430,Intermediate Division Llama and Alpaca Packing,,llamas_alpacas1,13,13,15,
Llamas and Alpacas,Packing,,,c1418,1418,,c1428,Junior Division Llama and Alpaca Packing,,llamas_alpacas1,14,9,12,
Llamas and Alpacas,Packing,,,c1419,1419,,c1426,Young Junior Division Llama and Alpaca Packing,,llamas_alpacas1,15,6,8,
Llamas and Alpacas,Obstacle,Public Relations,,c1421,1421,,c1432,Senior Division Llama and Alpaca Public Relations Obstacle,,llamas_alpacas1,16,16,20,
Llamas and Alpacas,Obstacle,Public Relations,,c1422,1422,,c1430,Intermediate Division Llama and Alpaca Public Relations Obstacle,,llamas_alpacas1,17,13,15,
Llamas and Alpacas,Obstacle,Public Relations,,c1423,1423,,c1428,Junior Division Llama and Alpaca Public Relations Obstacle,,llamas_alpacas1,18,9,12,
Llamas and Alpacas,Obstacle,Public Relations,,c1424,1424,,c1426,Young Junior Division Llama and Alpaca Public Relations Obstacle,,llamas_alpacas1,19,6,8,
