department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Pocket Pets,Special Needs Exhibitors,,,c624,624,,,Special Needs Exhibitors with Pocket Pets,,pocketpets,1,,,
Pocket Pets,Chinchillas,,,c625,625,,c629,"Chinchillas - Young Junior Division, pen of one or two",,pocketpets,2,5,8,
Pocket Pets,Chinchillas,,,c626,626,,c629,"Chinchillas - Junior Division, pen of one or two",,pocketpets,3,9,12,
Pocket Pets,Chinchillas,,,c627,627,,c629,"Chinchillas - Intermediate Division, pen of one or two",,pocketpets,4,13,15,
Pocket Pets,Chinchillas,,,c628,628,,c629,"Chinchillas - Senior Division, pen of one or two",,pocketpets,5,16,20,
Pocket Pets,Chinchillas,,,c629,,TRUE,c645,"Best Chinchillas, pen of one or two",,pocketpets,6,,,
Pocket Pets,"Ferrets, Gerbils, Hedgehogs, and Sugar Gliders",,,c630,630,,c634,"Other Species - Young Junior Division, pen of one or two",,pocketpets,7,5,8,
Pocket Pets,"Ferrets, Gerbils, Hedgehogs, and Sugar Gliders",,,c631,631,,c634,"Other Species - Junior Division, pen of one or two",,pocketpets,8,9,12,
Pocket Pets,"Ferrets, Gerbils, Hedgehogs, and Sugar Gliders",,,c632,632,,c634,"Other Species - Intermediate Division, pen of one or two",,pocketpets,9,13,15,
Pocket Pets,"Ferrets, Gerbils, Hedgehogs, and Sugar Gliders",,,c633,633,,c634,"Other Species  - Senior Division, pen of one or two",,pocketpets,10,16,20,
Pocket Pets,"Ferrets, Gerbils, Hedgehogs, and Sugar Gliders",,,c634,,TRUE,c645,"Best Other Species, pen of one or two",,pocketpets,11,,,
Pocket Pets,Hamsters,,,c635,635,,c639,"Hamsters - Young Junior Division, pen of one or two",,pocketpets,12,5,8,
Pocket Pets,Hamsters,,,c636,636,,c639,"Hamsters - Junior Division, pen of one or two",,pocketpets,13,9,12,
Pocket Pets,Hamsters,,,c637,637,,c639,"Hamsters - Intermediate Division, pen of one or two",,pocketpets,14,13,15,
Pocket Pets,Hamsters,,,c638,628,,c639,"Hamsters - Senior Division, pen of one or two",,pocketpets,15,16,20,
Pocket Pets,Hamsters,,,c639,,TRUE,c645,"Best Hamsters, pen of one or two",,pocketpets,16,,,
Pocket Pets,Guinea Pigs,,,c640,640,,c644,"Guinea Pigs - Young Junior Division, pen of one or two",,pocketpets,17,5,8,
Pocket Pets,Guinea Pigs,,,c641,641,,c644,"Guinea Pigs - Junior Division, pen of one or two",,pocketpets,18,9,12,
Pocket Pets,Guinea Pigs,,,c642,642,,c644,"Guinea Pigs - Intermediate Division, pen of one or two",,pocketpets,19,13,15,
Pocket Pets,Guinea Pigs,,,c643,643,,c644,"Guinea Pigs - Senior Division, pen of one or two",,pocketpets,20,16,20,
Pocket Pets,Guinea Pigs,,,c644,,TRUE,c645,"Best Guinea Pigs, pen of one or two",,pocketpets,21,,,
Pocket Pets,Grand Champion,,,c645,,TRUE,,Grand Champion Pocket Pet,,pocketpets,22,,,
