department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Poultry,Showmanship,,,s30,,,s34,Senior Division Poultry Showmanship,,poultry1,1,,,
Poultry,Showmanship,,,s31,,,s34,Intermediate Division Poultry Showmanship,,poultry1,2,,,
Poultry,Showmanship,,,s32,,,s34,Junior Division Poultry Showmanship,,poultry1,3,,,
Poultry,Showmanship,,,s33,,,s34,Young Junior Division Poultry Showmanship,,poultry1,4,,,
Poultry,Showmanship,,,s34,,TRUE,,Grand Champion Poultry Showmanship,,poultry1,5,,,
Poultry,Turkeys,Market,,c659,,,c660; c662,Single Market Turkey - EITHER One Hen or One Tom,,poultry1,6,,,
Poultry,Turkeys,Market,,c660,,TRUE,c664,Champion Market Hen Turkey,,poultry1,7,,,
Poultry,Turkeys,Market,,c662,,TRUE,c664,Champion Market Tom Turkey,,poultry1,8,,,
Poultry,Turkeys,Market,,c664,,TRUE,,Grand Champion Market Turkey,,poultry1,9,,,
Poultry,Chickens,Market,,c670,,,c671; c673,Pen of Two Market Chickens (same sex),,poultry1,10,,,
Poultry,Chickens,Market,,c671,,TRUE,c675,Champion Fryers,,poultry1,11,,,
Poultry,Chickens,Market,,c673,,TRUE,c675,Champion Broilers,,poultry1,12,,,
Poultry,Chickens,Market,,c675,,TRUE,,Grand Champion Market Chicken,,poultry1,13,,,
Poultry,Eggs,,,c774,744,,c777,Exhibit of One Dozen Brown Eggs,,poultry1,14,,,
Poultry,Eggs,,,c775,745,,c777,Exhibit of One Dozen White Eggs,,poultry1,15,,,
Poultry,Eggs,,,c776,746,,c777,Exhibit of One Dozen Blue or Green Eggs,,poultry1,16,,,
Poultry,Eggs,,,c777,,TRUE,,Champion One Dozen Eggs,,poultry1,17,,,
Poultry,Chickens,Fancy,Standard,c680,680,,c684,One Pullet - Standard,,poultry2,1,,,
Poultry,Chickens,Fancy,Standard,c681,681,,c684,One Hen - Standard,,poultry2,2,,,
Poultry,Chickens,Fancy,Standard,c682,682,,c684,One Cockerel - Standard,,poultry2,3,,,
Poultry,Chickens,Fancy,Standard,c683,683,,c684,One Cock - Standard,,poultry2,4,,,
Poultry,Chickens,Fancy,Standard,c684,,TRUE,c692,Champion Standard,,poultry2,5,,,
Poultry,Chickens,Fancy,Bantam,c686,686,,c690,One Pullet - Bantam,,poultry2,6,,,
Poultry,Chickens,Fancy,Bantam,c687,687,,c690,One Hen - Bantam,,poultry2,7,,,
Poultry,Chickens,Fancy,Bantam,c688,688,,c690,One Cockerel - Bantam,,poultry2,8,,,
