department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Rabbits,Showmanship,,,s25,,,s29,Young Junior Division Rabbit Showmanship,,rabbits1,1,5,8,
Rabbits,Showmanship,,,s26,,,s29,Junior Division Rabbit Showmanship,,rabbits1,2,9,12,
Rabbits,Showmanship,,,s27,,,s29,Intermediate Division Rabbit Showmanship,,rabbits1,3,13,15,
Rabbits,Showmanship,,,s28,,,s29,Senior Division Rabbit Showmanship,,rabbits1,4,16,20,
Rabbits,Showmanship,,,s29,,TRUE,,Grand Champion Rabbit Showmanship,,rabbits1,5,,,
Rabbits,Market,,,c518,518,,,Single Market Rabbit,,rabbits1,6a,,,
Rabbits,Show Rabbits,,,c522,522,,,Doe and Litter,,rabbits1,6b,,,
Rabbits,Show Rabbits,,,c525,525,,,Crossbreeds and Pets,,rabbits1,7b,,,
Rabbits,Market,,,c515,515,,,Pen of Two Market Rabbits,,rabbits1,8b,,,
Rabbits,Show Rabbits,,,c530,530,,c623,Flemish Giant,,rabbits2,1,,,
Rabbits,Show Rabbits,,,c533,533,,c623,French Lop,,rabbits2,2,,,
Rabbits,Show Rabbits,,,c539,539,,c623,Champagne,,rabbits2,3,,,
Rabbits,Show Rabbits,,,c542,542,,c623,New Zealand,,rabbits2,4,,,
Rabbits,Show Rabbits,,,c551,551,,c623,Californian,,rabbits2,5,,,
Rabbits,Show Rabbits,,,c554,554,,c623,Satin,,rabbits2,6,,,
Rabbits,Show Rabbits,,,c557,557,,c623,Mini Lop,,rabbits2,7,,,
Rabbits,Show Rabbits,,,c560,560,,c623,Fuzzy Lop,,rabbits2,8,,,
Rabbits,Show Rabbits,,,c566,566,,c623,English Lop,,rabbits2,9,,,
Rabbits,Show Rabbits,,,c569,569,,c623,Himalayan,,rabbits2,10,,,
Rabbits,Show Rabbits,,,c572,572,,c623,Silver Marten,,rabbits2,11,,,
Rabbits,Show Rabbits,,,c575,575,,c623,Harlequin,,rabbits2,12,,,
Rabbits,Show Rabbits,,,c578,578,,c623,Rex,,rabbits2,13,,,
Rabbits,Show Rabbits,,,c581,581,,c623,English Spot,,rabbits2,14,,,
Rabbits,Show Rabbits,,,c584,584,,c623,Holland Lop,,rabbits2,15,,,
Rabbits,Show Rabbits,,,c587,587,,c623,Thrianta,,rabbits2,16,,,
Rabbits,Show Rabbits,,,c590,590,,c623,Havana,,rabbits2,17,,,
Rabbits,Show Rabbits,,,c596,596,,c623,Dutch,,rabbits2,18,,,
Rabbits,Show Rabbits,,,c599,599,,c623,Mini Rex,,rabbits2,19,,,
Rabbits,Show Rabbits,,,c602,602,,c623,Dwarf Hotot,,rabbits2,20,,,
Rabbits,Show Rabbits,,,c605,605,,c623,Polish,,rabbits2,21,,,
Rabbits,Show Rabbits,,,c608,608,,c623,Netherland Dwarf,,rabbits2,22,,,
Rabbits,Show Rabbits,,,c611,611,,c623,Jersey Wooly,,rabbits2,23,,,
Rabbits,Show Rabbits,,,c614,614,,c623,Tan,,rabbits2,24,,,
Rabbits,Show Rabbits,,,c617,617,,c623,Lionhead,,rabbits2,25,,,
Rabbits,Show Rabbits,,,c620,620,,c623,Any Other Recognized Breed Not Listed,,rabbits2,26,,,
Rabbits,Show Rabbits,,,c623,,TRUE,,Best of Show,Best of breed rabbits in classes 530 through 620 will compete for Best of Show and Reserve Best of Show.,rabbits2,27,,,
Rabbits,Costume,,,c510,510,,c514,"Rabbit Costume, ages 5-8",,rabbits3,1,5,8,
Rabbits,Costume,,,c511,511,,c514,"Rabbit Costume, ages 9-12",,rabbits3,2,9,12,
Rabbits,Costume,,,c512,512,,c514,"Rabbit Costume, ages 13-15",,rabbits3,3,13,15,
Rabbits,Costume,,,c513,513,,c514,"Rabbit Costume, ages 16-20",,rabbits3,4,16,20,
Rabbits,Costume,,,c514,,TRUE,,Best Costume,,rabbits3,5,,,
