department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Swine,Showmanship,,,c425,425,,c430,Senior Division Swine Showmanship,,swine,1,16,20,
Swine,Showmanship,,,c426,426,,c430,5-Year-Old Division Swine Showmanship,,swine,2,5,5,
Swine,Showmanship,,,c427,427,,c430,Young Junior Division Swine Showmanship,,swine,3,6,8,
Swine,Showmanship,,,c428,428,,c430,Junior Division Swine Showmanship,,swine,4,9,12,
Swine,Showmanship,,,c429,429,,c430,Intermediate Division Swine Showmanship,,swine,5,13,15,
Swine,Showmanship,,,c430,,TRUE,,Champion Overall Swine Showmanship,,swine,6,,,
Swine,Market,,,c459,459,,,Berkshire Registered Market Hog,,swine,7,,,
Swine,Market,,,c462,462,,,Chester Registered Market Hog,,swine,8,,,
Swine,Market,,,c465,465,,,Duroc Registered Market Hog,,swine,9,,,
Swine,Market,,,c468,468,,,Hampshire Registered Market Hog,,swine,10,,,
Swine,Market,,,c471,471,,,Hereford Registered Market Hog,,swine,11,,,
Swine,Market,,,c474,474,,,Landrace Registered Market Hog,,swine,12,,,
Swine,Market,,,c477,477,,,Poland Registered Market Hog,,swine,13,,,
Swine,Market,,,c480,480,,,Spot Registered Market Hog,,swine,14,,,
Swine,Market,,,c483,483,,,York Registered Market Hog,,swine,15,,,
Swine,Market,,,c486,486,,,All Other Registered Breeds Market Hog,,swine,16,,,
Swine,Market,,,c435,435,,,Non-Registered Single Market Hog,,swine,17,,,
Swine,Market,,,c436,,TRUE,,Champion Light Weight Market Gilt,,swine,18,,,
Swine,Market,,,c438,,TRUE,,Champion Medium Weight Market Gilt,,swine,19,,,
Swine,Market,,,c440,,TRUE,,Champion Heavy Weight Market Gilt,,swine,20,,,
Swine,Market,,,c442,,TRUE,,Champion Market Gilt,,swine,21,,,
Swine,Market,,,c444,,TRUE,,Champion Light Weight Market Barrow,,swine,22,,,
Swine,Market,,,c446,,TRUE,,Champion Medium Weight Market Barrow,,swine,23,,,
Swine,Market,,,c448,,TRUE,,Champion Heavy Weight Market Barrow,,swine,24,,,
Swine,Market,,,c450,,TRUE,,Champion Market Barrow,,swine,25,,,
Swine,Market,,,c489,,TRUE,,Grand Champion Market Hog,,swine,26,,,
